images,x1,y1,x2,y2
image_0084.png,59,126,31,384
image_0085.png,68,142,83,381
image_0086.png,56,135,36,382
image_0087.png,62,141,74,382
image_0088.png,52,140,31,383
image_0089.png,49,140,85,383
image_0090.png,57,136,25,384
image_0091.png,57,135,65,365
image_0092.png,57,143,35,379
image_0093.png,74,126,81,378
image_0094.png,49,144,29,375
image_0095.png,53,123,75,369
image_0096.png,58,128,24,380
image_0097.png,51,123,85,386
image_0098.png,64,104,35,367
image_0099.png,51,154,93,382
image_0100.png,55,142,38,366
image_0101.png,59,144,65,364
image_0102.png,53,144,32,383
image_0103.png,68,145,72,381
image_0104.png,58,139,31,383
image_0105.png,58,108,85,379
image_0106.png,65,120,27,383
image_0107.png,51,137,84,381
image_0108.png,60,155,20,385
image_0109.png,62,185,82,381
image_0110.png,56,170,31,370
image_0111.png,70,138,82,382
image_0112.png,56,135,31,377
image_0113.png,64,138,81,381
image_0114.png,53,134,23,377
image_0115.png,69,139,70,367
image_0116.png,64,138,40,366
image_0117.png,73,142,80,380
image_0118.png,48,138,26,379
image_0119.png,56,133,75,383
image_0120.png,58,136,32,377
image_0121.png,69,136,75,380
image_0122.png,60,135,36,381
image_0123.png,63,138,75,369
image_0124.png,60,136,24,369
image_0125.png,58,125,81,383
image_0126.png,58,140,31,382
image_0127.png,54,141,82,387
image_0128.png,63,146,27,386
image_0129.png,72,154,81,382
image_0130.png,60,153,23,382
image_0131.png,54,124,71,362
image_0132.png,59,118,29,366
image_0133.png,63,159,89,383
image_0134.png,58,147,36,384
image_0135.png,54,154,79,377
image_0136.png,63,136,36,373
image_0137.png,58,160,79,377
image_0138.png,56,155,32,384
image_0139.png,49,138,74,384
image_0140.png,64,140,34,371
image_0141.png,48,138,69,385
image_0142.png,60,140,30,370
image_0143.png,60,123,71,384
image_0144.png,59,128,32,382
image_0145.png,49,134,73,384
image_0146.png,62,143,30,372
image_0147.png,56,141,89,384
image_0148.png,63,137,27,368
image_0149.png,60,155,87,381
image_0150.png,54,152,31,380
image_0151.png,53,138,72,386
image_0152.png,59,140,35,372
image_0153.jpg,66,171,95,381
image_0154.jpg,44,165,28,383
image_0155.jpg,67,141,69,383
image_0156.jpg,45,157,28,364
image_0157.jpg,52,120,84,380
image_0158.jpg,58,119,33,385
image_0159.jpg,57,143,77,384
image_0160.jpg,57,145,36,385
image_0161.jpg,62,139,76,374
image_0162.jpg,54,154,39,373
image_0163.jpg,54,142,84,384
image_0164.jpg,56,137,30,385
image_0165.jpg,65,134,86,381
image_0166.jpg,53,132,29,377
image_0167.jpg,61,149,80,384
image_0168.jpg,60,146,38,358
image_0169.jpg,63,156,83,383
image_0170.jpg,48,192,34,384
image_0171.jpg,50,118,81,381
image_0172.jpg,52,120,26,367
image_0173.jpg,52,130,82,382
image_0174.jpg,65,135,30,382
image_0175.jpg,60,136,78,380
image_0176.jpg,61,133,30,380
image_0177.jpg,67,113,81,383
image_0178.jpg,59,110,29,381
image_0179.jpg,49,135,76,386
image_0180.jpg,62,128,25,381
image_0181.jpg,59,118,81,379
image_0182.jpg,64,108,35,374
image_0183.jpg,62,145,86,385
image_0184.jpg,50,157,23,383
image_0185.jpg,52,141,79,382
image_0186.jpg,59,139,39,386
image_0187.jpg,57,136,72,383
image_0188.jpg,56,136,34,381
image_0189.jpg,54,175,90,385
image_0190.jpg,62,163,29,381
image_0191.jpg,46,116,59,373
image_0192.jpg,63,122,46,380
image_0193.jpg,64,148,75,382
image_0194.jpg,63,146,27,383
image_0195.jpg,52,127,75,370
image_0196.jpg,62,138,29,383
image_0197.jpg,54,135,78,380
image_0198.jpg,60,125,29,384
image_0199.jpg,51,147,70,353
image_0200.jpg,58,157,40,379
image_0201.jpg,62,154,86,382
image_0202.jpg,47,152,25,382
image_0203.jpg,83,122,75,368
image_0204.jpg,41,118,33,365
image_0205.jpg,75,150,82,385
image_0206.jpg,62,154,31,384
image_0207.jpg,62,123,72,382
image_0208.jpg,55,122,33,382
image_0209.jpg,61,123,75,366
image_0210.jpg,55,121,38,369
image_0211.jpg,59,120,70,378
image_0212.jpg,53,119,34,380
image_0213.jpg,67,107,40,369
image_0214.jpg,61,103,79,382
image_0215.jpg,53,102,30,383
image_0216.jpg,58,133,81,383
image_0217.jpg,60,140,31,378
image_0218.jpg,62,136,86,384
image_0219.jpg,56,126,26,385
image_0220.jpg,66,139,76,366
image_0221.jpg,55,151,27,361
image_0222.jpg,55,123,76,377
image_0223.jpg,65,124,34,370
image_0224.jpg,44,104,79,372
image_0225.jpg,66,98,31,379
image_0226.jpg,64,125,76,378
image_0227.jpg,63,118,38,383
image_0228.jpg,60,147,81,383
image_0229.jpg,56,156,25,381
image_0230.jpg,61,137,76,380
image_0231.jpg,61,122,34,382
image_0232.jpg,57,144,79,383
image_0233.jpg,52,146,30,384
image_0234.jpg,47,127,77,381
image_0235.jpg,64,133,25,384
image_0236.jpg,55,145,72,375
image_0237.jpg,63,142,33,370
image_0238.jpg,60,131,81,382
image_0239.jpg,64,127,33,372
image_0240.jpg,61,139,77,383
image_0241.jpg,64,124,36,369
image_0242.jpg,63,140,79,383
image_0243.jpg,53,144,32,383
image_0244.jpg,52,152,82,383
image_0245.jpg,55,150,31,384
image_0246.jpg,53,129,75,384
image_0247.jpg,59,135,38,381
image_0248.jpg,53,138,79,386
image_0249.jpg,56,138,31,383
image_0250.jpg,65,153,77,372
image_0251.jpg,47,136,76,384
image_0252.jpg,68,143,22,382
image_0253.jpg,72,153,84,381
image_0254.jpg,59,162,38,378
image_0255.jpg,63,133,71,379
image_0256.jpg,60,138,39,385
image_0257.jpg,51,131,90,385
image_0258.jpg,52,140,27,384
image_0259.jpg,63,157,71,380
image_0260.jpg,57,153,33,386
image_0261.jpg,51,139,78,385
image_0262.jpg,53,133,24,381
image_0263.jpg,57,112,86,378
image_0264.jpg,52,122,21,382
image_0265.jpg,52,150,79,363
image_0266.jpg,55,139,45,376
image_0267.jpg,66,186,81,382
image_0268.jpg,56,181,38,382
image_0269.jpg,70,130,80,383
image_0270.jpg,67,136,34,385
image_0271.jpg,71,159,73,383
image_0272.jpg,51,159,31,383
image_0273.jpg,53,140,69,351
image_0274.jpg,60,140,41,353
image_0275.jpg,56,135,85,385
image_0276.jpg,63,138,31,383
image_0277.jpg,59,135,78,386
image_0278.jpg,59,141,28,384
image_0279.jpg,59,131,87,380
image_0280.jpg,59,122,28,383
image_0281.jpg,71,143,72,384
image_0282.jpg,54,141,35,383
image_0283.jpg,68,137,76,381
image_0284.jpg,62,137,34,383
image_0285.jpg,63,126,88,384
image_0286.jpg,62,137,31,384
image_0287.jpg,60,132,76,368
image_0288.jpg,58,119,33,368
image_0289.jpg,70,140,80,385
image_0290.jpg,56,139,28,382
image_0291.jpg,54,140,86,385
image_0292.jpg,66,137,35,370
image_0293.jpg,54,122,83,383
image_0294.jpg,60,119,26,384
image_0295.jpg,57,140,73,383
image_0296.jpg,56,138,35,380
image_0297.jpg,53,147,77,383
image_0298.jpg,61,153,35,384
image_0299.jpg,66,155,85,384
image_0300.jpg,55,147,26,383
image_0301.jpg,62,155,84,382
image_0302.jpg,54,144,31,385
image_0303.jpg,53,122,91,385
image_0304.jpg,66,118,28,384
image_0305.jpg,60,145,77,371
image_0306.jpg,59,136,30,371
image_0307.jpg,47,107,89,383
image_0308.jpg,61,104,34,383
image_0309.jpg,52,153,73,383
image_0310.jpg,61,142,29,384
image_0311.jpg,56,144,76,362
image_0312.jpg,60,145,42,354
image_0313.jpg,64,153,76,380
image_0314.jpg,53,145,30,370
image_0315.jpg,65,139,79,386
image_0316.jpg,62,137,30,384
image_0317.jpg,57,141,59,368
image_0318.jpg,59,120,45,373
image_0319.jpg,78,121,83,381
image_0320.jpg,70,135,43,379
image_0321.jpg,69,132,80,372
image_0322.jpg,69,127,39,374
image_0323.jpg,60,101,89,383
image_0324.jpg,46,105,31,383
image_0325.jpg,46,108,71,363
image_0326.jpg,62,108,34,363
image_0327.jpg,69,135,67,367
image_0328.jpg,62,135,37,367
image_0329.jpg,62,125,88,384
image_0330.jpg,66,103,36,367
image_0331.jpg,69,131,79,385
image_0332.jpg,60,138,27,382
image_0333.jpg,57,136,78,382
image_0334.jpg,60,118,37,379
image_0335.jpg,72,118,67,351
image_0336.jpg,64,119,36,351
image_0337.jpg,59,131,78,381
image_0338.jpg,60,131,32,382
image_0339.jpg,68,146,79,374
image_0340.jpg,66,134,34,383
image_0341.jpg,66,142,89,383
image_0342.jpg,60,139,29,385
image_0343.jpg,61,140,85,380
image_0344.jpg,56,154,32,383
image_0345.jpg,50,139,93,379
image_0346.jpg,63,137,32,367
image_0347.jpg,69,149,71,385
image_0348.jpg,53,152,36,386
image_0349.jpg,66,144,82,384
image_0350.jpg,61,145,26,381
image_0351.jpg,71,168,82,382
image_0352.jpg,66,171,37,368
image_0353.jpg,65,134,81,368
image_0354.jpg,55,139,28,376
image_0355.jpg,64,134,78,384
image_0356.jpg,53,134,34,373
image_0357.jpg,57,154,69,371
image_0358.jpg,55,152,49,367
image_0359.jpg,77,149,80,382
image_0360.jpg,58,139,37,383
image_0361.jpg,61,123,88,383
image_0362.jpg,56,119,34,385
image_0363.jpg,58,138,70,372
image_0364.jpg,63,134,60,360
image_0365.jpg,53,137,79,385
image_0366.jpg,56,134,29,385
image_0367.jpg,55,132,72,367
image_0368.jpg,64,131,37,368
image_0369.jpg,55,124,78,378
image_0370.jpg,57,132,27,380
image_0371.jpg,57,159,87,382
image_0372.jpg,55,140,32,381
image_0373.jpg,50,122,89,385
image_0374.jpg,50,122,26,385
image_0375.jpg,56,136,85,387
image_0376.jpg,53,138,37,381
image_0377.jpg,60,144,80,381
image_0378.jpg,64,147,29,385
image_0379.jpg,64,120,80,367
image_0380.jpg,62,121,33,382
image_0381.jpg,69,121,79,383
image_0382.jpg,54,144,38,385
image_0383.jpg,63,124,76,383
image_0384.jpg,55,139,43,384
image_0385.jpg,56,148,84,385
image_0386.jpg,54,140,39,382
image_0387.jpg,54,138,91,385
image_0388.jpg,60,136,30,383
image_0389.jpg,60,103,84,381
image_0390.jpg,61,100,36,380
image_0391.jpg,61,148,82,376
image_0392.jpg,53,169,38,384
image_0393.jpg,53,145,76,384
image_0394.jpg,60,138,41,385
image_0395.jpg,48,127,76,385
image_0396.jpg,55,132,34,379
image_0397.jpg,48,121,74,382
image_0398.jpg,69,124,37,379
image_0399.jpg,48,106,78,382
image_0400.jpg,64,107,34,383
image_0401.jpg,52,133,80,366
image_0402.jpg,65,120,36,369
image_0403.jpg,42,127,75,382
image_0404.jpg,66,137,30,382
image_0405.jpg,38,137,84,383
image_0406.jpg,67,147,31,372
image_0407.jpg,52,140,80,380
image_0408.jpg,65,139,41,375
image_0409.jpg,49,137,71,369
image_0410.jpg,62,141,45,370
image_0411.jpg,52,155,78,379
image_0412.jpg,54,157,36,376
image_0413.jpg,43,118,75,361
image_0414.jpg,66,107,33,364
image_0415.jpg,47,137,76,374
image_0416.jpg,64,142,37,376
image_0417.jpg,55,124,76,382
image_0418.jpg,62,106,38,383
image_0419.jpg,60,135,70,381
image_0420.jpg,63,158,46,381
image_0421.jpg,53,157,76,376
image_0422.jpg,49,154,33,375
image_0423.jpg,64,149,76,381
image_0424.jpg,55,147,36,385
